nbr_condidats;357;355;353;351;337;318;316;314;313;312;237;216;218;214;213;212;124;122;404;304;204;104;etablissent;pole;wil;directeur;code_etab;nbr_classes
380;;;;1;;;;;;;;;;;;;379;;;;;;г ж”Ў… Ќ”«д џћ« н;”ЎнЁ;”ЎнЁ;»бёЎ Џ»ѕ «б—Ќг«д;1;32
132;;1;;;;;;;;;;;;;;;;;;;;131;г ж”Ў… “—жён ќн—…;”ЎнЁ;”ЎнЁ;дћн… —«‘ѕн;2;13
209;;;;;;;;204;;;;5;;;;;;;;;;;г ж”Ў… Ќб нг Џбн;”ЎнЁ;”ЎнЁ;Ќѕ«жн Џ»ѕ «б”б«г;3;23
218;;;;;;;;;;;142;;76;;;;;;;;;;г ж”Ў… »бЏЎ«—;”ЎнЁ;”ЎнЁ;Ёб«Ќн бндѕ…;4;21
146;;;;;129;;;;17;;;;;;;;;;;;;;г ж”Ў… ‘«ѕбн бќ÷—;”ЎнЁ;”ЎнЁ;’жнбЌ Ќ”нд;5;20
360;;;;;;;;;;;;;;;;;;360;;;;;г ж”Ў… Џ»ѕ «бЌгнѕ бџжё;”ЎнЁ;”ЎнЁ;Ё—ћ«жн Џг—;6;20
400;;;;;;;;;;;;;;;;;;;400;;;;г ж”Ў… гбня… ќ—‘н;”ЎнЁ;”ЎнЁ;»бж’нЁ б“е—;7;20
289;;;;;;;;;;;;;;;22;267;;;;;;;г ж”Ў… Џ»ѕ «бЏ“н“ »яж‘;”ЎнЁ;”ЎнЁ;бн нг —г÷«д;8;19
362;;;;;;;;;;;;;;;;;;;;362;;;г ж”Ў… Џ«∆‘… √г «бгƒгднд;”ЎнЁ;”ЎнЁ;Џ—«г… д”нг…;9;19
283;;;;;;;;;;283;;;;;;;;;;;;;г ж”Ў… ё«—… «б»‘н—;”ЎнЁ;”ЎнЁ;џд«г ќ–«—н;10;20
205;;;;;;;;;;;;;;205;;;;;;;;;г ж”Ў… √Ќгѕ »д гЏн“…;”ЎнЁ;”ЎнЁ;»ж‘б«џг бќ÷—;11;17
275;;;;;;;;;;;;;;;;;;;27;;248;;г ж”Ў… “—ж«б —«»Ќ;”ЎнЁ;”ЎнЁ;ќ«бѕ «‘ё»ё»;12;21
159;;;1;;;;;;;;;;;;;;;158;;;;;г ж”Ў… ≈»д —‘ѕ;”ЎнЁ;”ЎнЁ;дЏнћ… Ё’нЌ…;13;17
72;1;;;;;67;4;;;;;;;;;;;;;;;;г ж”Ў… «б‘ёнёнд √Ќгнд;”ЎнЁ;”ЎнЁ;ѕбнб… √‘е»;14;14
159;;;;;20;;;;1;;26;;;33;;;;;;;43;36;г ж”Ў… »—я«  Џ»«”;Џнд жбг«д;”ЎнЁ;Џ“н“н б“е—;15;24
207;;;;;;11;;;;53;;;;;3;38;47;;;55;;;г ж”Ў… »д ћѕн… гЌгѕ;Џнд жбг«д;”ЎнЁ;гќ «— гнеж»н ;16;17
228;;;;;;;;20;;;;;9;;;;;114;85;;;;г ж”Ў… Ќ‘«н‘н Ў«—ё;Џнд жбг«д;”ЎнЁ;яг«б «бЏг“«жн;17;16
238;;;;;;;1;;3;;;3;;;3;;;;87;58;53;30;г ж”Ў…5 ћжнбн… 1962;»жё«Џ…;”ЎнЁ;»д бЎ—‘ Џ»ѕ «бя—нг;18;17
244;;;;;;6;;;;55;;;5;;;101;;77;;;;;г ж”Ў… Ќ”нд еѕ«ћн;»жё«Џ…;”ЎнЁ;г”бг ќн— «бѕнд;19;13
183;;1;;;15;;;24;;;21;;;57;;;65;;;;;;г ж”Ў… »—«енг Ќг“…;»жё«Џ…;”ЎнЁ;—ж«ё «бЏг—н;20;11
318;;;;;;;4;;;165;;;;;;;149;;;;;;г ж”Ў… Ќгж ЏжЁ;«бЏбг…;”ЎнЁ;—Ќ«»н Џбн;21;17
229;;1;;1;;13;;;;;59;6;;;;149;;;;;;;г ж”Ў… »д »«ѕн”;«бЏбг…;”ЎнЁ;Џ“ж“ Џ»ѕ «б»«ён;22;15
336;;;;;;;;55;;;;;27;;;;;;254;;;;г ж”Ў… ѕнбгн ’Ќ—«жн;«бЏбг…;”ЎнЁ;»д ѕ«ѕ… Ќгнѕ;23;18
370;;;;;34;;;;;;;;;;;;;;;210;126;;г ж”Ў… Џ «ббЎнЁ Џг—«д;«бЏбг…;”ЎнЁ;ЎбЌн Ё—нѕ;24;20
405;;;;;;;;;2;;;;;76;10;;;242;;;;75;г ж”Ў… «бќж«—“гн;«бЏбг…;”ЎнЁ; ж« н бќ÷—;25;22
157;;;1;;10;;;11;1;37;11;;;;2;32;;52;;;;;г ж”Ў… »ж—н«‘н «бЏ—»н;Џ «бя»н—…;”ЎнЁ;ѕб«б Џ»ѕ «бя—нг;26;26
154;;;;;;3;1;;;;;;2;14;;;36;;44;27;19;8;г ж”Ў… ‘б«бн «бЎ«е—;Џ «бя»н—…;”ЎнЁ;Ё—«Ќ гёѕ«ѕ;27;16
161;;;;;;7;;8;;;;;2;23;;;27;;40;24;20;10;г ж”Ў… «б≈ќж… бжян…;’«бЌ »«н;”ЎнЁ;»бнбнЎ… Џ»ѕ «б»«”Ў;28;13
156;;;;;9;;1;;;37;8;1;;;1;37;;62;;;;;г ж”Ў… ё—гн «бЎн»;’«бЌ »«н;”ЎнЁ;»бнбнЎ… Џ»ѕ «б»«”Ў;29;18
213;;;;;;;;11;;;26;2;2;28;;;;;68;38;25;13;г ж”Ў… 18 ЁнЁ—н;Џнд «“«б;”ЎнЁ;’ё«—н Ё«—жё;30;18
264;;;;;13;8;;;1;57;;;;;3;35;45;102;;;;;г ж”Ў… »жЌЁ’ г»—жя;Џнд «“«б;”ЎнЁ;»жЏя«“ Џ»ѕ «бгћнѕ;31;21
267;;;;;;1;;;;21;;;;;;11;1;38;52;30;50;63;г ≈   ”ЎнЁ;г Џё«»н…;”ЎнЁ;NULL;32;13
20;;;;;;;;;;;;;;;;;1;1;0;4;8;6;г «б√Ќѕ«Ћ ”ЎнЁ;г Џё«»н…;”ЎнЁ;NULL;33;13
261;;;;;;;;;;8;;;;;;14;;50;35;26;49;79;г ≈   Џнд жбг«д;г Џё«»н…;”ЎнЁ;NULL;34;12
237;;;;;;;;;;;;;;;;;182;;;;;55;г ж”Ў… ж‘«г «б’«бЌ;»—ћ »жЏ—н—нћ;»—ћ »жЏ—н—нћ;»бЌ”нд «б’«бЌ;35;13
212;;;;;;;;;10;;;;;;;202;;;;;;;г ж”Ў… »бЏ—»н »Џ»ж‘;»—ћ »жЏ—н—нћ;»—ћ »жЏ—н—нћ;г«÷жн дЏнг…;36;12
320;;;;;;;4;;;203;;;32;;;;;;;;81;;г ж”Ў… гжбжѕ ё«”г;»—ћ »жЏ—н—нћ;»—ћ »жЏ—н—нћ;»жѕ—»«б… √Ќгѕ бќ÷—;37;19
288;;;;;;;;;;;;;;106;;;;;182;;;;г ж”Ў… Џ «бё«ѕ— Џ“ж“;»—ћ »жЏ—н—нћ;»—ћ »жЏ—н—нћ;»жЏя«“ √Ќгѕ;38;16
271;;;;;;15;;64;;;;2;;;;;;;;190;;;г ж”Ў… ’Ё’«Ё «»—«енг;»—ћ »жЏ—н—нћ;»—ћ »жЏ—н—нћ;‘я«б –е»н…;39;18
383;;;1;;33;;;;;;51;;;;35;;;263;;;;;г ж”Ў… «»д гЏг— «б—»нЏ;»—ћ »жЏ—н—нћ;»—ћ »жЏ—н—нћ;»џж—… гЌн «бѕнд;40;24
163;;;;;;;1;14;4;;;;2;;;58;;84;;;;;г ж”Ў… бж’нЁ «бЏн«‘н;гћ«д…;»—ћ »жЏ—н—нћ;г—«ѕ »бежб;41;17
172;;;;;;3;;;;;9;;;;5;;;;55;52;32;16;г ж”Ў… я«ен… Џбн;гћ«д…;»—ћ »жЏ—н—нћ;»д я‘нѕ… дж—…;42;18
148;;;;;9;;;;;55;;;;37;;;47;;;;;;г ж”Ў… “е—«жн «бћжѕн;гћ«д…;»—ћ »жЏ—н—нћ;Џгг«гж‘ гЌгѕ «бЎн»;43;9
154;;;2;;;1;;11;;;;;1;13;;;19;;36;38;22;11;г ж”Ў… —«‘ѕн —«‘ѕ;«бгд’ж—…;»—ћ »жЏ—н—нћ;бЎ—‘ Џ“ «бѕнд;44;16
156;;;;;1;;;;2;50;15;;;;1;40;;47;;;;;г ж”Ў… «б≈ќж… Џ“н»;«бгд’ж—…;»—ћ »жЏ—н—нћ;»д ёжѕ«» »бё«”г;45;12
110;1;;;;;;;10;;;;1;5;35;;;;58;;;;;г ж”Ў… «бЏ—»н »дж—;—«” «бж«ѕн;»—ћ »жЏ—н—нћ;»бЏбгн гж”м;46;17
100;;;;;;;;;;;;;;;;;;;46;37;12;5;г ж”Ў…«б≈ќж… »ЏЎж‘;—«” «бж«ѕн;»—ћ »жЏ—н—нћ;Ќѕ«ѕ Џ»ѕ «бгћнѕ;47;19
106;;;;;1;8;;;;24;5;;;;;39;29;;;;;;г ж”Ў… «б’«бЌ Џ»ѕбн;—«” «бж«ѕн;»—ћ »жЏ—н—нћ;»д ”«бг «бг»—жя;48;14
119;;;;;2;1;;7;;15;5;;;9;;16;15;10;13;18;8;;г ж”Ў… «бќЋн— »бЏ«н»;Џнд  «џ—ж ;»—ћ »жЏ—н—нћ;ѕЌ«гд… –е»н…;49;14
268;;;;;;1;;4;;;7;;4;;;96;;95;48;;13;;г ж”Ў… ’«еѕ гЌгѕ;«бЌг«ѕн…;»—ћ »жЏ—н—нћ;”бг«д «”н«;50;22
173;;;;;2;;;;1;65;;;;24;1;;26;;;44;;10;г ж”Ў… «б‘еѕ«Ѕ «бЏ‘—;«бЌг«ѕн…;»—ћ »жЏ—н—нћ;г«дн «бЏг—н;51;19
145;;;3;;;;1;12;;;4;;;30;2;;;50;;35;8;;г ж”Ў… »д г”«еб «бЏг—н;»∆— ё«’ѕ Џбн;»—ћ »жЏ—н—нћ;б“ж‘ «б—»Ќ;52;21
164;;;;;8;1;;;;28;;3;2;;;47;37;;28;;;10;г ж”Ў… «бЌ”нд ћ«» «ббе;»∆— ё«’ѕ Џбн;»—ћ »жЏ—н—нћ;»н÷н«Ё «б“ж»н—;53;14
177;;1;;;;5;2;7;;;14;;9;25;;;51;;44;;19;;г ж”Ў… Ќ—ж“ «б‘—нЁ;»—ћ «бџѕн—;»—ћ »жЏ—н—нћ;»д Ќ—н—… яг«б;54;15
269;;;;;5;;;;1;69;;;;;2;67;;65;;47;;13;г ж”Ў… Џ»ѕ «бя—нг «бЏёжд;»—ћ «бџѕн—;»—ћ »жЏ—н—нћ;»бЌѕ«ѕ д’— «бѕнд;55;19
271;;;;;;;;5;;;;;;;;122;;;;;144;;г ≈   »—ћ »жЏ—н—нћ 1;г Џё«»н…;»—ћ »жЏ—н—нћ;;56;8
105;;;;1;1;;;;;;;;;1;;;;102;;;;;г ≈   »—ћ »жЏ—н—нћ 2;г Џё«»н…;»—ћ »жЏ—н—нћ;;57;8
105;;;;;;;;;;;;;;;;;5;;;100;;;г ≈   »—ћ »жЏ—н—нћ 3;г Џё«»н…;»—ћ »жЏ—н—нћ;;58;8
415;;;;;;;;;;136;;;;;;;;;163;;;116;г ≈   »—ћ »жЏ—н—нћ 4;г Џё«»н…;»—ћ »жЏ—н—нћ;;59;8
115;;;;;;;;1;;5;;;;1;;7;12;10;9;8;25;37;г ≈    —«” «бж«ѕн;г Џё«»н…;»—ћ »жЏ—н—нћ;;60;8
